source	term_name	term_id	adjusted_p_value	negative_log10_of_adjusted_p_value	term_size	query_size	intersection_size	effective_domain_size	intersections	log2fc	idr_fraction
GO:MF	transmembrane receptor protein serine/threonine kinase activity	GO:0004675	1.68415275281109e-08	7.77361852050006	19	494	9	19375	Q04771,P36894,P36896,Q16671,O00238,Q14766,Q8N2S1,Q8NER5,P36897	4.215538946350374	0.3333333333333333
GO:MF	growth factor binding	GO:0019838	2.03149964637809e-07	6.69218324893494	113	494	17	19375	O14786,Q04771,Q92896,Q8TEU8,Q9NS15,P08138,P36896,P04085,P18065,P11362,P05106,Q14766,Q8N2S1,P21860,Q8N441,Q8NER5,P36897	2.560825337186799	0.6470588235294118
GO:MF	protein tyrosine kinase activity	GO:0004713	1.68389338470129e-06	5.77368540921505	115	494	16	19375	O14786,P52797,P29317,P29322,P07333,Q9UM73,O15146,Q08345,P54762,P52798,P11362,P29376,P21860,Q04912,Q8N441,P07949	2.448051407407272	0.5625
GO:MF	metalloendopeptidase activity	GO:0004222	4.63240276453266e-06	5.33419368787957	80	494	13	19375	Q9P2N4,Q9UKP4,Q9BZ11,Q76LX8,O95450,Q9NPA2,Q9UP79,P51511,Q9ULZ9,O75173,Q8WXS8,Q9Y5R2,P24347	2.6720530816053767	0.8461538461538461
GO:MF	antigen binding	GO:0003823	7.11804548673563e-06	5.14763924103361	145	494	17	19375	P04430,P01614,P01611,P01599,P01597,P01593,P04433,P04432,P06310,P01619,P01624,P18627,P01602,P01615,P01601,P01594,P06312	2.201095209587052	0.058823529411764705
GO:MF	transforming growth factor beta-activated receptor activity	GO:0005024	7.55424777386933e-06	5.12180877472964	12	494	6	19375	Q04771,P36894,O00238,Q14766,Q8N2S1,P36897	4.293541458351647	0.5
GO:MF	calcium ion binding	GO:0005509	7.55424777386933e-06	5.12180877472964	362	494	28	19375	P14625,P31415,Q9UJ99,Q07954,O75094,O95302,P32926,O75129,Q13609,Q9UN72,Q96D15,Q9BXN1,Q9NZW4,Q9NRD8,P98095,Q76LX8,Q02818,O15496,Q8NFT8,Q9UN74,P23327,Q8N2S1,Q99466,Q14574,Q08629,Q96JQ0,P07949,P58400	1.6010504933260454	0.6071428571428571
GO:MF	cell adhesion molecule binding	GO:0050839	2.15891993302074e-05	4.66576346386867	523	494	34	19375	Q8NFZ4,Q9UJ99,P23467,P02675,Q04771,P20701,Q9ULL4,Q12913,Q14956,P29317,Q8N2Q7,Q8N0Z9,Q76LX8,Q6UX06,Q9P2J2,P23468,Q9UP79,P21815,P32942,Q9HDB5,P04216,P48061,P22105,P57087,P05106,Q8N2S1,Q9UM47,Q8N423,P58401,Q15223,Q96MS0,Q96JQ0,P58400,Q6UXI9	1.350337163355045	0.6764705882352942
GO:MF	hormone activity	GO:0005179	3.87060391792179e-05	4.41222126811838	83	494	12	19375	P0DN87,Q641Q3,O15240,A6NKQ9,P01229,P20396,P09529,P09683,O00230,Q6NT52,O43612,O43555	2.5034645277258782	0.5833333333333334
GO:MF	activin receptor activity, type I	GO:0016361	5.78690771888246e-05	4.23755344307272	5	494	4	19375	Q04771,P36896,Q8NER5,P36897	4.971613363464285	0.0
GO:MF	transforming growth factor beta receptor activity, type I	GO:0005025	5.78690771888246e-05	4.23755344307272	5	494	4	19375	Q04771,P36894,O00238,P36897	4.971613363464285	0.25
GO:MF	structural molecule activity	GO:0005198	6.13964894084569e-05	4.21185646068494	578	494	35	19375	Q86XX4,P25067,P02675,P13611,P78539,O95967,P24043,Q14050,Q13753,P15502,Q8IZC6,Q8IUX7,Q8NFW1,Q9BXN1,Q9NZW4,Q99102,P25189,P98095,Q6W4X9,Q6UX06,P98088,P20774,Q16270,P22105,P51888,Q92954,P25940,Q14766,P11047,Q8N2S1,Q02505,Q96CG8,Q7Z5L7,P12111,Q6UXI9	1.2478987927959346	0.7428571428571429
GO:MF	activin-activated receptor activity	GO:0017002	6.1826494067531e-05	4.20882537990085	10	494	5	19375	Q04771,P36896,Q16671,Q8NER5,P36897	4.293541458351647	0.0
GO:MF	metallopeptidase activity	GO:0008237	0.000175716473364776	3.75518752162335	151	494	15	19375	Q9P2N4,Q9UKP4,Q9BZ11,Q76LX8,O95450,Q9NPA2,Q9UP79,P51511,Q13219,Q9ULZ9,O75173,Q8WXS8,P15169,Q9Y5R2,P24347	1.9620273146350868	0.8666666666666667
GO:MF	cytokine binding	GO:0019955	0.000175716473364776	3.75518752162335	132	494	14	19375	O14786,Q04771,Q8TEU8,Q9NS15,P07333,P20333,P78552,P41271,P05106,Q14766,Q8N2S1,O75462,P36897,Q9UHF4	2.0565022610507975	0.5714285714285714
GO:MF	coreceptor activity	GO:0015026	0.000175716473364776	3.75518752162335	41	494	8	19375	O14786,P08138,O75581,Q6NW40,Q9Y625,P05106,Q15223,O75197	2.9359894537335633	0.75
GO:MF	extracellular matrix structural constituent conferring compression resistance	GO:0030021	0.000229693074105297	3.63885209981237	21	494	6	19375	P13611,Q9BXN1,P20774,P51888,Q92954,Q7Z5L7	3.486186536294043	0.6666666666666666
GO:MF	platelet-derived growth factor receptor binding	GO:0005161	0.000243398155562848	3.61368271711628	13	494	5	19375	P08648,Q12913,P04085,P05106,O75460	3.915029835097917	0.6
GO:MF	cytokine activity	GO:0005125	0.000300767107024737	3.52176966149384	179	494	16	19375	P19875,Q9Y6F9,P09341,P27539,P22004,O95390,P09529,Q7Z4P5,P19876,O95715,P48061,Q9H2A7,P55107,P22301,O75462,Q6KF10	1.8097256810873907	0.5
GO:MF	activin binding	GO:0048185	0.00034597828137299	3.46095116298732	14	494	5	19375	Q04771,P19883,P36896,Q16671,P36897	3.808114631181405	0.2
GO:MF	transforming growth factor beta binding	GO:0050431	0.000464968263387409	3.33257668905864	24	494	6	19375	Q04771,Q8TEU8,Q9NS15,Q14766,Q8N2S1,P36897	3.2935414583516467	0.5
GO:MF	ephrin receptor activity	GO:0005003	0.000638476390964896	3.19485515707439	16	494	5	19375	P52797,P29317,P29322,P54762,P52798	3.6154695532390093	0.0
GO:MF	transmembrane-ephrin receptor activity	GO:0005005	0.000638476390964896	3.19485515707439	16	494	5	19375	P52797,P29317,P29322,P54762,P52798	3.6154695532390093	0.0
GO:MF	mannose binding	GO:0005537	0.000638476390964896	3.19485515707439	16	494	5	19375	Q9H0V9,Q12907,P49257,Q9HAT1,P10323	3.6154695532390093	0.0
GO:MF	G protein-coupled receptor binding	GO:0001664	0.00165892297110797	2.78017377913502	254	494	18	19375	Q9ULT6,P19875,Q8N729,Q9Y6F9,P09341,Q969E3,P01024,Q9HC23,O75581,Q2MKA7,P19876,P09683,O95715,P48061,Q9H2A7,O00230,P48645,O43612	1.4747817730217934	0.4444444444444444
GO:MF	semaphorin receptor activity	GO:0017154	0.00191818753822114	2.71710893479153	11	494	4	19375	O14786,Q9ULL4,Q9Y4D7,Q9UIW2	3.8341098397143494	0.5
GO:MF	collagen binding	GO:0005518	0.00191818753822114	2.71710893479153	59	494	8	19375	P22303,Q8IUX7,Q9NZW4,O15146,Q08345,P04085,P25940,Q7Z5L7	2.4108984089898056	0.625
GO:MF	integrin binding	GO:0005178	0.00195457545197684	2.7089475599492	130	494	12	19375	Q14956,Q76LX8,Q9UP79,P21815,P32942,P04216,P48061,P22105,P57087,P05106,Q8N2S1,Q6UXI9	1.8561361460443486	0.5
GO:MF	amyloid-beta binding	GO:0001540	0.00201827758419571	2.69501910321609	76	494	9	19375	P22303,Q07954,P30988,Q13467,P08138,Q8N2Q7,P30533,O94985,Q8N423	2.215538946350374	0.5555555555555556
GO:MF	protein kinase activity	GO:0004672	0.00218985366034476	2.65958490645133	514	494	28	19375	Q96Q04,O14786,Q04771,P52797,Q9NZJ5,P36894,P29317,P29322,P07333,Q9UM73,P36896,O15146,Q16671,Q08345,P54762,O00238,P52798,P11362,P29376,Q14766,Q8N2S1,P21860,Q04912,Q8N441,Q8NER5,O75460,P07949,P36897	1.095271831215373	0.5357142857142857
GO:MF	neuroligin family protein binding	GO:0097109	0.00229733271296863	2.63877610321921	5	494	3	19375	Q9HDB5,P58401,P58400	4.556575864185441	0.6666666666666666
GO:MF	glycosaminoglycan binding	GO:0005539	0.00231698762863465	2.63507628508359	154	494	13	19375	Q9H1E1,P13611,Q99645,O75094,O95967,Q14956,P11362,P22105,P51888,Q8N967,Q8N2S1,Q9NZ53,Q8N441	1.7271946357978376	0.6923076923076923
GO:MF	carbohydrate binding	GO:0030246	0.00300038478546966	2.52282304545028	99	494	10	19375	Q9Y240,Q9H0V9,Q9NYZ4,Q12907,P49257,Q9Y286,Q9HAT1,Q14165,Q9BZZ2,P10323	1.9861129331593996	0.4
GO:MF	semaphorin receptor binding	GO:0030215	0.00327914563045492	2.48423929540794	23	494	5	19375	Q9NPR2,Q9H3T2,Q9H3T3,Q9C0C4,Q9NTN9	3.0919075971819963	0.8
GO:MF	low-density lipoprotein particle receptor activity	GO:0005041	0.00328115486387377	2.48397327130898	13	494	4	19375	Q07954,O75581,Q14114,Q9H2A7	3.593101740210555	0.5
GO:MF	protein disulfide isomerase activity	GO:0003756	0.00430980887335258	2.36554198902461	14	494	4	19375	P13667,P05106,O00391,Q13087	3.486186536294043	0.5
GO:MF	intramolecular oxidoreductase activity, transposing S-S bonds	GO:0016864	0.00430980887335258	2.36554198902461	14	494	4	19375	P13667,P05106,O00391,Q13087	3.486186536294043	0.5
GO:MF	chemorepellent activity	GO:0045499	0.00455068793815057	2.34192294506622	25	494	5	19375	Q9NPR2,Q9H3T2,Q9H3T3,Q9C0C4,Q9NTN9	2.9716133634642845	0.8
GO:MF	lipoprotein particle receptor activity	GO:0030228	0.00552401198196311	2.25774538807769	15	494	4	19375	Q07954,O75581,Q14114,Q9H2A7	3.3866508627431284	0.5
GO:MF	peptidase activity	GO:0008233	0.00617142648195293	2.20961444023951	528	494	27	19375	Q9P2N4,Q9UKP4,Q04756,A0A1B0GTW7,Q8NBP7,Q9BZ11,Q92743,Q9H4A9,Q76LX8,A1L453,O95450,Q9NPA2,Q9UP79,P51511,Q13219,Q9ULZ9,O75173,Q9H4B8,Q8WXS8,P14091,P15169,Q9Y5R2,P42785,P10323,Q9UI38,P10619,P24347	1.004034841156662	0.5925925925925926
GO:MF	immune receptor activity	GO:0140375	0.00625481276902115	2.20378568590629	131	494	11	19375	Q01113,P30273,Q13261,Q9GZZ7,P78552,P38484,Q96F46,Q9HBE5,O75462,Q8N423,Q9UHF4	1.7195500754514939	0.6363636363636364
GO:MF	apolipoprotein binding	GO:0034185	0.00664463780856952	2.17752868696002	16	494	4	19375	Q07954,Q8NBP7,O75581,Q14114	3.293541458351647	0.25
GO:MF	prosaposin receptor activity	GO:0036505	0.00664463780856952	2.17752868696002	2	494	2	19375	O15354,O60883	5.293541458351647	0.5
GO:MF	fucosidase activity	GO:0015928	0.00664463780856952	2.17752868696002	2	494	2	19375	P04066,Q9BTY2	5.293541458351647	0.0
GO:MF	lipoprotein particle receptor binding	GO:0070325	0.00664463780856952	2.17752868696002	28	494	5	19375	P14625,Q07954,Q8NBP7,P30533,Q14696	2.808114631181405	0.4
GO:MF	macrophage colony-stimulating factor receptor activity	GO:0005011	0.00664463780856952	2.17752868696002	2	494	2	19375	P07333,Q04912	5.293541458351647	0.5
GO:MF	coreceptor activity involved in canonical Wnt signaling pathway	GO:1904928	0.00664463780856952	2.17752868696002	2	494	2	19375	O75581,O75197	5.293541458351647	0.5
GO:MF	alpha-L-fucosidase activity	GO:0004560	0.00664463780856952	2.17752868696002	2	494	2	19375	P04066,Q9BTY2	5.293541458351647	0.0
GO:MF	growth factor activity	GO:0008083	0.00718795838016013	2.14339444621514	95	494	9	19375	Q9Y240,P40225,P09341,P12034,P04085,O95196,P55107,P22301,Q9Y219	1.8936108514630114	0.6666666666666666
GO:MF	coreceptor activity involved in Wnt signaling pathway	GO:0071936	0.00816499098239546	2.0880442905719	8	494	3	19375	O75581,Q9Y625,O75197	3.878503959072803	0.6666666666666666
GO:MF	cytokine receptor activity	GO:0004896	0.00816499098239546	2.0880442905719	97	494	9	19375	Q01113,Q13261,Q9GZZ7,P78552,P38484,Q96F46,Q9HBE5,O75462,Q9UHF4	1.8635536176068315	0.6666666666666666
GO:MF	endopeptidase activity	GO:0004175	0.00822379076935429	2.0849279475792	356	494	20	19375	Q9P2N4,Q9UKP4,Q04756,Q8NBP7,Q9BZ11,Q92743,Q76LX8,A1L453,O95450,Q9NPA2,Q9UP79,P51511,Q9ULZ9,O75173,Q8WXS8,P14091,Q9Y5R2,P10323,Q9UI38,P24347	1.1397361222726115	0.65
GO:MF	peptide binding	GO:0042277	0.00822379076935429	2.0849279475792	279	494	17	19375	P22303,Q07954,Q04771,P30988,Q13467,P47871,Q8WZ71,P08138,Q8N2Q7,P16066,P30533,O15354,P08571,O94985,Q8N423,P49190,O60883	1.256882987772799	0.5294117647058824
GO:MF	CXCR chemokine receptor binding	GO:0045236	0.00892266431672716	2.04950544548037	18	494	4	19375	P19875,P09341,P19876,P48061	3.1236164569093345	0.0
GO:MF	extracellular matrix constituent conferring elasticity	GO:0030023	0.0112766839667424	1.94781859066018	9	494	3	19375	P15502,P98095,P11047	3.708578957630491	0.6666666666666666
GO:MF	chemokine activity	GO:0008009	0.0118733699783175	1.92542599921991	48	494	6	19375	P19875,P09341,P19876,O95715,P48061,Q9H2A7	2.2935414583516467	0.0
GO:MF	fibroblast growth factor binding	GO:0017134	0.0156908963731879	1.80435224578148	21	494	4	19375	Q92896,P11362,P05106,Q8N441	2.901224035572887	0.5
GO:MF	G protein-coupled GABA receptor activity	GO:0004965	0.0160083404223621	1.79565368886576	3	494	2	19375	O75899,Q9UBS5	4.708578957630491	0.5
GO:MF	ribonuclease A activity	GO:0004522	0.0160083404223621	1.79565368886576	3	494	2	19375	Q8TDE3,P34096	4.708578957630491	0.0
GO:MF	protein tyrosine kinase collagen receptor activity	GO:0038062	0.0160083404223621	1.79565368886576	3	494	2	19375	O15146,Q08345	4.708578957630491	0.0
GO:MF	hormone binding	GO:0042562	0.0160083404223621	1.79565368886576	69	494	7	19375	Q04771,P30988,P47871,P04278,P16066,Q16671,P49190	1.992371923631082	0.14285714285714285
GO:MF	G protein-coupled receptor activity	GO:0004930	0.0166924318549899	1.77748038805014	382	494	20	19375	Q8IWK6,P55085,O60241,P30988,O14514,P47871,P07359,P16066,Q7RTX0,Q96PQ0,O15354,Q7RTX1,O75899,Q9NYQ7,Q86Y34,Q13255,Q9UBS5,Q9HCU4,P49190,O60883	1.0380407252032609	0.7
GO:MF	phosphotransferase activity, alcohol group as acceptor	GO:0016773	0.0174528457552923	1.75813374950389	611	494	28	19375	Q96Q04,O14786,Q04771,P52797,Q9NZJ5,P36894,P29317,P29322,P07333,Q9UM73,P36896,O15146,Q16671,Q08345,P54762,O00238,P52798,P11362,P29376,Q14766,Q8N2S1,P21860,Q04912,Q8N441,Q8NER5,O75460,P07949,P36897	0.8458678105905217	0.5357142857142857
GO:MF	monosaccharide binding	GO:0048029	0.0185875282874234	1.73077835753858	37	494	5	19375	Q9H0V9,Q12907,P49257,Q9HAT1,P10323	2.4060161876100596	0.0
GO:MF	structural molecule activity conferring elasticity	GO:0097493	0.0185875282874234	1.73077835753858	11	494	3	19375	P15502,P98095,P11047	3.419072340435506	0.6666666666666666
GO:MF	low-density lipoprotein particle receptor binding	GO:0050750	0.0196581700277816	1.70645691294471	23	494	4	19375	P14625,Q8NBP7,P30533,Q14696	2.769979502294634	0.5
GO:MF	receptor inhibitor activity	GO:0030547	0.0256747553684587	1.59049368571061	40	494	5	19375	Q9UBP4,Q8TEU8,Q8NBP7,P19883,P30533	2.293541458351647	0.2
GO:MF	cation binding	GO:0043169	0.0269250473868694	1.5698435236906	1036	494	41	19375	P22303,P14625,P31415,Q9UJ99,Q07954,O75094,O95302,P32926,O75129,Q13609,Q9UN72,Q96D15,Q9BXN1,Q9BZ11,Q9NZW4,P05187,Q9NRD8,Q8NBK3,P98095,O60391,Q76LX8,Q02818,O15496,Q8NFT8,Q9UN74,P51511,P23327,Q13219,Q9ULZ9,P17405,Q8N2S1,Q99466,Q14574,P32297,Q08629,Q8NER5,O75460,P10323,Q96JQ0,P07949,P58400	0.6342851752831767	0.6585365853658537
GO:MF	extracellular matrix constituent, lubricant activity	GO:0030197	0.0269250473868694	1.5698435236906	4	494	2	19375	Q99102,Q02505	4.293541458351647	0.5
GO:MF	channel activator activity	GO:0099103	0.0269250473868694	1.5698435236906	4	494	2	19375	Q2I0M4,Q5VT99	4.293541458351647	0.5
GO:MF	potassium channel activator activity	GO:0099104	0.0269250473868694	1.5698435236906	4	494	2	19375	Q2I0M4,Q5VT99	4.293541458351647	0.5
GO:MF	extracellular matrix structural constituent conferring tensile strength	GO:0030020	0.0269250473868694	1.5698435236906	41	494	5	19375	P25067,Q14050,Q8IZC6,P25940,P12111	2.2579175486209255	0.8
GO:MF	very-low-density lipoprotein particle receptor binding	GO:0070326	0.0269250473868694	1.5698435236906	4	494	2	19375	Q8NBP7,P30533	4.293541458351647	0.0
GO:MF	metal ion binding	GO:0046872	0.0281456603731829	1.55058855716314	947	494	38	19375	P14625,P31415,Q9UJ99,Q07954,O75094,O95302,P32926,O75129,Q13609,Q9UN72,Q96D15,Q9BXN1,Q9BZ11,Q9NZW4,P05187,Q9NRD8,Q8NBK3,P98095,Q76LX8,Q02818,O15496,Q8NFT8,Q9UN74,P51511,P23327,Q13219,Q9ULZ9,P17405,Q8N2S1,Q99466,Q14574,Q08629,Q8NER5,O75460,P10323,Q96JQ0,P07949,P58400	0.6542483563268473	0.6842105263157895
GO:MF	peptide hormone binding	GO:0017046	0.0288435989053272	1.53995055230173	42	494	5	19375	Q04771,P30988,P47871,P16066,P49190	2.223152130460249	0.2
GO:MF	Wnt-protein binding	GO:0017147	0.0317733031509545	1.49793763359393	27	494	4	19375	Q9H461,Q13467,O75581,O75197	2.5386539561881785	0.75
GO:MF	heparin binding	GO:0008201	0.0324548161621299	1.48872084655438	103	494	8	19375	O75094,O95967,Q14956,P11362,P22105,P51888,Q8N967,Q8N441	1.6070409311684286	0.625
GO:MF	Wnt-activated receptor activity	GO:0042813	0.0324548161621299	1.48872084655438	14	494	3	19375	Q9H461,Q13467,O75197	3.071149037015199	0.6666666666666666
GO:MF	arylsulfatase activity	GO:0004065	0.0324548161621299	1.48872084655438	14	494	3	19375	Q5FYB0,P15848,Q5FYB1	3.071149037015199	0.3333333333333333
GO:MF	exopeptidase activity	GO:0008238	0.0370655392272065	1.43102967740662	84	494	7	19375	Q9H4A9,P51511,Q9ULZ9,Q9H4B8,P15169,P42785,P10619	1.7085789576304908	0.42857142857142855
GO:MF	amide binding	GO:0033218	0.0385100994701947	1.41442535960887	336	494	17	19375	P22303,Q07954,Q04771,P30988,Q13467,P47871,Q8WZ71,P08138,Q8N2Q7,P16066,P30533,O15354,P08571,O94985,Q8N423,P49190,O60883	0.9886868768232262	0.5294117647058824
GO:MF	neurotransmitter binding	GO:0042165	0.0385100994701947	1.41442535960887	15	494	3	19375	P22303,O60391,P32297	2.9716133634642845	0.3333333333333333
GO:MF	serine-type carboxypeptidase activity	GO:0004185	0.0385456609932889	1.41402450250873	5	494	2	19375	P42785,P10619	3.9716133634642845	0.0
GO:MF	neuregulin binding	GO:0038132	0.0385456609932889	1.41402450250873	5	494	2	19375	P05106,P21860	3.9716133634642845	0.0
GO:MF	fibroblast growth factor-activated receptor activity	GO:0005007	0.0385456609932889	1.41402450250873	5	494	2	19375	P11362,Q8N441	3.9716133634642845	0.5
GO:MF	cytokine receptor binding	GO:0005126	0.0405101098635004	1.3924365790073	231	494	13	19375	P19875,P08648,P09341,P78552,P19876,O95715,P48061,Q9H2A7,P22301,P05106,O75462,Q8NEV9,P36897	1.1422321350766815	0.23076923076923078
